providerName,providerNationalID,avgCoveredCharges,averagePayments
HOUSTON NORTHWEST MEDICAL CENTER,450638,51541,8667
MEMORIAL HERMANN HOSPITAL SYSTEM,450184,25053,8821
MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,450610,29431,7861
MEMORIAL HERMANN TEXAS MEDICAL CENTER,450068,35289,12377
METHODIST HOSPITALTHE,450358,63169,9160
METHODIST WILLOWBROOK HOSPITAL,450844,55675,7693
PARK PLAZA HOSPITAL,450659,67903,9385
ST ANTHONY'S HOSPITAL,450795,22946,7898
ST JOSEPH MEDICAL CENTER,450035,39361,11102
ST LUKES EPISCOPAL HOSPITAL,450193,55674,13904
