providerName,providerNationalID,avgCoveredCharges,averagePayments
CYPRESS FAIRBANKS MEDICAL CENTER,450716,28407,5087
DOCTORS HOSPITAL TIDWELL,450803,19156,5948
HARRIS COUNTY HOSPITAL DISTRICT,450289,15307,7448
HOUSTON NORTHWEST MEDICAL CENTER,450638,32294,4738
MEMORIAL HERMANN HOSPITAL SYSTEM,450184,23104,5421
MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,450610,21501,4918
MEMORIAL HERMANN TEXAS MEDICAL CENTER,450068,24572,8610
METHODIST HOSPITALTHE,450358,31498,5355
METHODIST WILLOWBROOK HOSPITAL,450844,29668,4294
PARK PLAZA HOSPITAL,450659,38160,5037
ST ANTHONY'S HOSPITAL,450795,21817,4423
ST JOSEPH MEDICAL CENTER,450035,30200,6295
ST LUKES EPISCOPAL HOSPITAL,450193,27617,6758
UNIVERSITY GENERAL HOSPITAL,670019,26538,4151
WEST HOUSTON MEDICAL CENTER,450644,29969,5081
