providerName,providerNationalID,avgCoveredCharges,averagePayments
HARRIS COUNTY HOSPITAL DISTRICT,450289,22602,8326
HOUSTON NORTHWEST MEDICAL CENTER,450638,40704,5564
MEMORIAL HERMANN HOSPITAL SYSTEM,450184,24508,6898
MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,450610,22642,5001
MEMORIAL HERMANN TEXAS MEDICAL CENTER,450068,25510,8574
METHODIST HOSPITALTHE,450358,39605,5806
METHODIST WILLOWBROOK HOSPITAL,450844,35844,4863
ST JOSEPH MEDICAL CENTER,450035,38444,7265
ST LUKES EPISCOPAL HOSPITAL,450193,33031,7281
WEST HOUSTON MEDICAL CENTER,450644,42849,5807
