providerName,providerNationalID,avgCoveredCharges,averagePayments
CYPRESS FAIRBANKS MEDICAL CENTER,450716,78338,12997
DOCTORS HOSPITAL TIDWELL,450803,42186,14794
HOUSTON NORTHWEST MEDICAL CENTER,450638,65346,11720
MEMORIAL HERMANN HOSPITAL SYSTEM,450184,40608,12120
MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,450610,31313,10605
MEMORIAL HERMANN TEXAS MEDICAL CENTER,450068,66497,19544
METHODIST HOSPITALTHE,450358,97581,14936
METHODIST WILLOWBROOK HOSPITAL,450844,72128,10725
PARK PLAZA HOSPITAL,450659,132937,14272
ST ANTHONY'S HOSPITAL,450795,32153,11153
ST LUKES EPISCOPAL HOSPITAL,450193,84247,20625
WEST HOUSTON MEDICAL CENTER,450644,61815,12507
