providerName,providerNationalID,avgCoveredCharges,averagePayments
CYPRESS FAIRBANKS MEDICAL CENTER,450716,56695,9081
DOCTORS HOSPITAL TIDWELL,450803,27025,9805
HARRIS COUNTY HOSPITAL DISTRICT,450289,23308,11848
HOUSTON NORTHWEST MEDICAL CENTER,450638,53080,9535
MEMORIAL HERMANN HOSPITAL SYSTEM,450184,31503,10396
MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,450610,30395,9593
MEMORIAL HERMANN TEXAS MEDICAL CENTER,450068,51609,16383
METHODIST HOSPITAL,THE,450358,59340,11273
METHODIST WEST HOUSTON HOSPITAL,670077,22316,4278
METHODIST WILLOWBROOK HOSPITAL,450844,51707,8774
PARK PLAZA HOSPITAL,450659,77836,11080
RIVERSIDE GENERAL HOSPITAL,450446,25139,4793
ST ANTHONY'S HOSPITAL,450795,29389,7836
ST JOSEPH MEDICAL CENTER,450035,45400,11746
ST LUKE'S HOSPITAL AT THE VINTAGE, LLC,670075,33840,5255
ST LUKES EPISCOPAL HOSPITAL,450193,50495,12436
TEXAS ORTHOPEDIC HOSPITAL,450804,58122,13609
TOPS SURGICAL SPECIALTY HOSPITAL,450774,31530,12915
UNIVERSITY GENERAL HOSPITAL,670019,60176,12928
WEST HOUSTON MEDICAL CENTER,450644,50657,10376
WESTBURY COMMUNITY HOSPITAL, LLC,670072,9132,4637
