city,avgCoveredCharges,averagePayments
BLUE SPRINGS,51557,11372
BOLIVAR,23484,11108
BRANSON,36724,10252
BRIDGETON,45216,11821
CAPE GIRARDEAU,46277,11090
CHESTERFIELD,36601,11136
CLINTON,17337,12326
COLUMBIA,38124,11220
CRYSTAL CITY,24060,10137
DEXTER,14894,10243
FARMINGTON,17436,9822
FENTON,38768,10364
HANNIBAL,31630,12527
HOUSTON,19294,12032
INDEPENDENCE,68133,11664
JEFFERSON CITY,28508,11268
JOPLIN,46160,11135
KANSAS CITY,64064,13299
KENNETT,47984,9995
KIRKSVILLE,49890,14294
LAKE SAINT LOUI,37713,10377
LEBANON,22381,12750
LEES SUMMIT,66598,12650
LIBERTY,30769,10273
MARSHALL,16241,10633
MEXICO,18577,11321
MOBERLY,41081,13058
NEVADA,20251,13076
NORTH KANSAS CI,42756,10699
O FALLON,18923,10355
OSAGE BEACH,42467,13787
POPLAR BLUFF,57248,13291
RICHMOND HEIGHT,38789,14503
ROLLA,34523,14020
SAINT CHARLES,43020,11941
SAINT JOSEPH,37813,15605
SAINT LOUIS,52080,13367
SAINT PETERS,27622,10087
SEDALIA,17116,10394
SIKESTON,56477,12872
SPRINGFIELD,34912,11401
SULLIVAN,17305,11176
TOWN AND COUNTR,30305,10426
WASHINGTON,47700,12026
WEST PLAINS,21260,10885
