providerName,providerNationalID,avgCoveredCharges,averagePayments
ALBERT EINSTEIN MEDICAL CENTER,390142,39388,16047
ARIA HEALTH,390115,64936,11396
CHESTNUT HILL HOSPITAL,390026,74215,9080
HAHNEMANN UNIVERSITY HOSPITAL,390290,127198,15669
HOSPITAL OF UNIV OF PENNSYLVANIA,390111,95432,15422
JEANES HOSPITAL,390080,82048,9372
NAZARETH HOSPITAL,390204,50921,9035
PENN PRESBYTERIAN MEDICAL CENTER,390223,45344,11330
PENNSYLVANIA HOSP OF THE UNIV OF PA HEALTH SYS,390226,70935,13067
ST JOSEPH'S HOSPITAL,390132,38404,13587
TEMPLE UNIVERSITY HOSPITAL,390027,91368,16233
THOMAS JEFFERSON UNIVERSITY HOSPITAL,390174,70936,14318
