providerName,providerNationalID,avgCoveredCharges,averagePayments
ALBERT EINSTEIN MEDICAL CENTER,390142,27412,8860
ARIA HEALTH,390115,27622,5193
CANCER TREATMENT CENTERS OF AMERICA,390312,67776,13231
CHESTNUT HILL HOSPITAL,390026,34064,4427
HAHNEMANN UNIVERSITY HOSPITAL,390290,64735,6951
HOSPITAL OF UNIV OF PENNSYLVANIA,390111,36079,6808
JEANES HOSPITAL,390080,42460,4393
NAZARETH HOSPITAL,390204,30339,4353
PENN PRESBYTERIAN MEDICAL CENTER,390223,22790,5706
PENNSYLVANIA HOSP OF THE UNIV OF PA HEALTH SYS,390226,37728,5578
ST JOSEPH'S HOSPITAL,390132,14841,6492
TEMPLE UNIVERSITY HOSPITAL,390027,59532,8589
THOMAS JEFFERSON UNIVERSITY HOSPITAL,390174,30200,6499
