providerName,providerNationalID,avgCoveredCharges,averagePayments
ALBERT EINSTEIN MEDICAL CENTER,390142,48657,15293
ARIA HEALTH,390115,46433,8947
CANCER TREATMENT CENTERS OF AMERICA,390312,67613,19205
CHESTNUT HILL HOSPITAL,390026,57939,7582
HAHNEMANN UNIVERSITY HOSPITAL,390290,110678,12655
HOSPITAL OF UNIV OF PENNSYLVANIA,390111,85236,15106
JEANES HOSPITAL,390080,66251,7631
KENSINGTON HOSPITAL,390025,4109,4158
NAZARETH HOSPITAL,390204,43370,7773
PENN PRESBYTERIAN MEDICAL CENTER,390223,59724,11561
PENNSYLVANIA HOSP OF THE UNIV OF PA HEALTH SYS,390226,58785,11839
ST JOSEPH'S HOSPITAL,390132,38847,11377
TEMPLE UNIVERSITY HOSPITAL,390027,118063,16427
THOMAS JEFFERSON UNIVERSITY HOSPITAL,390174,56785,12691
