providerName,providerNationalID,avgCoveredCharges,averagePayments
ALBERT EINSTEIN MEDICAL CENTER,390142,31936,15372
ARIA HEALTH,390115,58470,10491
CHESTNUT HILL HOSPITAL,390026,74193,8947
HOSPITAL OF UNIV OF PENNSYLVANIA,390111,60186,14665
JEANES HOSPITAL,390080,68070,9221
NAZARETH HOSPITAL,390204,46810,8658
PENN PRESBYTERIAN MEDICAL CENTER,390223,38516,10647
ST JOSEPH'S HOSPITAL,390132,53479,14059
TEMPLE UNIVERSITY HOSPITAL,390027,145854,20463
THOMAS JEFFERSON UNIVERSITY HOSPITAL,390174,57774,13646
