providerName,providerNationalID,avgCoveredCharges,averagePayments
ALBERT EINSTEIN MEDICAL CENTER,390142,36574,12246
ARIA HEALTH,390115,45966,7903
CHESTNUT HILL HOSPITAL,390026,51852,6683
HAHNEMANN UNIVERSITY HOSPITAL,390290,87108,10028
HOSPITAL OF UNIV OF PENNSYLVANIA,390111,54372,10814
JEANES HOSPITAL,390080,58353,6285
NAZARETH HOSPITAL,390204,41604,6325
PENN PRESBYTERIAN MEDICAL CENTER,390223,37365,8054
PENNSYLVANIA HOSP OF THE UNIV OF PA HEALTH SYS,390226,46966,8308
ST JOSEPH'S HOSPITAL,390132,31302,9869
TEMPLE UNIVERSITY HOSPITAL,390027,79022,12328
THOMAS JEFFERSON UNIVERSITY HOSPITAL,390174,48082,9683
