providerName,providerNationalID,avgCoveredCharges,averagePayments
ALBERT EINSTEIN MEDICAL CENTER,390142,32735,9350
ARIA HEALTH,390115,27407,5665
CHESTNUT HILL HOSPITAL,390026,39436,5034
HAHNEMANN UNIVERSITY HOSPITAL,390290,79136,7908
HOSPITAL OF UNIV OF PENNSYLVANIA,390111,47656,8252
NAZARETH HOSPITAL,390204,32258,4872
PENN PRESBYTERIAN MEDICAL CENTER,390223,20391,5706
PENNSYLVANIA HOSP OF THE UNIV OF PA HEALTH SYS,390226,35892,5978
ST JOSEPH'S HOSPITAL,390132,21078,7177
TEMPLE UNIVERSITY HOSPITAL,390027,54961,8952
THOMAS JEFFERSON UNIVERSITY HOSPITAL,390174,52656,7978
