providerName,providerNationalID,avgCoveredCharges,averagePayments
ALBERT EINSTEIN MEDICAL CENTER,390142,49963,16843
ARIA HEALTH,390115,62831,10768
CHESTNUT HILL HOSPITAL,390026,103943,9771
HAHNEMANN UNIVERSITY HOSPITAL,390290,175608,18379
HOSPITAL OF UNIV OF PENNSYLVANIA,390111,96698,18688
JEANES HOSPITAL,390080,84851,9182
NAZARETH HOSPITAL,390204,53666,8922
PENN PRESBYTERIAN MEDICAL CENTER,390223,69716,11838
PENNSYLVANIA HOSP OF THE UNIV OF PA HEALTH SYS,390226,77127,11562
ST JOSEPH'S HOSPITAL,390132,50120,14307
TEMPLE UNIVERSITY HOSPITAL,390027,119131,17265
THOMAS JEFFERSON UNIVERSITY HOSPITAL,390174,64771,12922
