providerName,providerNationalID,avgCoveredCharges,averagePayments
ALBERT EINSTEIN MEDICAL CENTER,390142,26536,8723
ARIA HEALTH,390115,38680,5492
CHESTNUT HILL HOSPITAL,390026,41544,4579
HAHNEMANN UNIVERSITY HOSPITAL,390290,66563,7392
HOSPITAL OF UNIV OF PENNSYLVANIA,390111,32411,7018
JEANES HOSPITAL,390080,35743,4599
NAZARETH HOSPITAL,390204,25789,4400
PENN PRESBYTERIAN MEDICAL CENTER,390223,26546,5581
PENNSYLVANIA HOSP OF THE UNIV OF PA HEALTH SYS,390226,42312,6468
ST JOSEPH'S HOSPITAL,390132,15091,6317
TEMPLE UNIVERSITY HOSPITAL,390027,62874,8793
THOMAS JEFFERSON UNIVERSITY HOSPITAL,390174,29537,6669
