providerName,providerNationalID,avgCoveredCharges,averagePayments
ALBERT EINSTEIN MEDICAL CENTER,390142,31665,11756
ARIA HEALTH,390115,30103,7295
CHESTNUT HILL HOSPITAL,390026,49608,6511
HAHNEMANN UNIVERSITY HOSPITAL,390290,80714,9694
HOSPITAL OF UNIV OF PENNSYLVANIA,390111,53627,10644
JEANES HOSPITAL,390080,46426,6238
NAZARETH HOSPITAL,390204,37508,6125
PENNSYLVANIA HOSP OF THE UNIV OF PA HEALTH SYS,390226,41789,8096
TEMPLE UNIVERSITY HOSPITAL,390027,95652,12722
THOMAS JEFFERSON UNIVERSITY HOSPITAL,390174,44534,9424
