providerName,providerNationalID,avgCoveredCharges,averagePayments
ALBERT EINSTEIN MEDICAL CENTER,390142,28418,9799
ARIA HEALTH,390115,28936,5826
CHESTNUT HILL HOSPITAL,390026,35629,5017
HAHNEMANN UNIVERSITY HOSPITAL,390290,70258,7653
HOSPITAL OF UNIV OF PENNSYLVANIA,390111,39409,7895
JEANES HOSPITAL,390080,47742,4928
NAZARETH HOSPITAL,390204,31691,4943
PENN PRESBYTERIAN MEDICAL CENTER,390223,24775,6337
PENNSYLVANIA HOSP OF THE UNIV OF PA HEALTH SYS,390226,43055,6572
ST JOSEPH'S HOSPITAL,390132,30909,7430
TEMPLE UNIVERSITY HOSPITAL,390027,74686,9978
THOMAS JEFFERSON UNIVERSITY HOSPITAL,390174,38586,7621
