providerName,providerNationalID,avgCoveredCharges,averagePayments
ALBERT EINSTEIN MEDICAL CENTER,390142,39066,13051
ARIA HEALTH,390115,53174,8670
CHESTNUT HILL HOSPITAL,390026,62543,7452
HAHNEMANN UNIVERSITY HOSPITAL,390290,128936,12431
HOSPITAL OF UNIV OF PENNSYLVANIA,390111,69081,12458
JEANES HOSPITAL,390080,66104,7196
NAZARETH HOSPITAL,390204,40651,7099
PENN PRESBYTERIAN MEDICAL CENTER,390223,61623,9456
PENNSYLVANIA HOSP OF THE UNIV OF PA HEALTH SYS,390226,69780,10639
ST JOSEPH'S HOSPITAL,390132,46499,12194
TEMPLE UNIVERSITY HOSPITAL,390027,130099,16681
THOMAS JEFFERSON UNIVERSITY HOSPITAL,390174,52039,11100
