providerName,providerNationalID,avgCoveredCharges,averagePayments
ALBERT EINSTEIN MEDICAL CENTER,390142,44831,18262
ARIA HEALTH,390115,58594,12565
CHESTNUT HILL HOSPITAL,390026,102592,12014
HAHNEMANN UNIVERSITY HOSPITAL,390290,150308,17807
HOSPITAL OF UNIV OF PENNSYLVANIA,390111,93059,17563
JEANES HOSPITAL,390080,107955,10655
NAZARETH HOSPITAL,390204,73282,10150
PENN PRESBYTERIAN MEDICAL CENTER,390223,57510,13428
PENNSYLVANIA HOSP OF THE UNIV OF PA HEALTH SYS,390226,99879,15387
TEMPLE UNIVERSITY HOSPITAL,390027,164388,24344
THOMAS JEFFERSON UNIVERSITY HOSPITAL,390174,70449,16151
