providerName,providerNationalID,avgCoveredCharges,averagePayments
ALBERT EINSTEIN MEDICAL CENTER,390142,34356,9473
ARIA HEALTH,390115,27007,5323
CANCER TREATMENT CENTERS OF AMERICA,390312,37272,8074
CHESTNUT HILL HOSPITAL,390026,39151,4719
HAHNEMANN UNIVERSITY HOSPITAL,390290,81180,7435
HOSPITAL OF UNIV OF PENNSYLVANIA,390111,37519,7640
JEANES HOSPITAL,390080,42650,4494
NAZARETH HOSPITAL,390204,33725,4613
PENN PRESBYTERIAN MEDICAL CENTER,390223,28112,5815
PENNSYLVANIA HOSP OF THE UNIV OF PA HEALTH SYS,390226,35230,5977
ST JOSEPH'S HOSPITAL,390132,20421,6699
TEMPLE UNIVERSITY HOSPITAL,390027,63420,8986
THOMAS JEFFERSON UNIVERSITY HOSPITAL,390174,32724,7099
