providerName,providerNationalID,avgCoveredCharges,averagePayments
ALBERT EINSTEIN MEDICAL CENTER,390142,33480,12304
ARIA HEALTH,390115,34826,7590
CHESTNUT HILL HOSPITAL,390026,45647,6476
HAHNEMANN UNIVERSITY HOSPITAL,390290,80753,10113
HOSPITAL OF UNIV OF PENNSYLVANIA,390111,44537,10233
JEANES HOSPITAL,390080,73703,6657
NAZARETH HOSPITAL,390204,35530,6169
PENN PRESBYTERIAN MEDICAL CENTER,390223,32064,8045
PENNSYLVANIA HOSP OF THE UNIV OF PA HEALTH SYS,390226,44144,8724
ST JOSEPH'S HOSPITAL,390132,47726,9953
TEMPLE UNIVERSITY HOSPITAL,390027,81977,12123
THOMAS JEFFERSON UNIVERSITY HOSPITAL,390174,46707,9767
