providerName,providerNationalID,avgCoveredCharges,averagePayments
ALBERT EINSTEIN MEDICAL CENTER,390142,29302,9538
ARIA HEALTH,390115,29870,5874
CHESTNUT HILL HOSPITAL,390026,38045,5361
HAHNEMANN UNIVERSITY HOSPITAL,390290,60937,8053
HOSPITAL OF UNIV OF PENNSYLVANIA,390111,36162,8091
JEANES HOSPITAL,390080,45490,5037
NAZARETH HOSPITAL,390204,32199,4899
PENN PRESBYTERIAN MEDICAL CENTER,390223,24721,6451
PENNSYLVANIA HOSP OF THE UNIV OF PA HEALTH SYS,390226,41896,6882
TEMPLE UNIVERSITY HOSPITAL,390027,61598,9304
THOMAS JEFFERSON UNIVERSITY HOSPITAL,390174,39207,7603
