providerName,providerNationalID,avgCoveredCharges,averagePayments
ALBERT EINSTEIN MEDICAL CENTER,390142,36444,11737
ARIA HEALTH,390115,43293,7656
CHESTNUT HILL HOSPITAL,390026,44294,6602
HAHNEMANN UNIVERSITY HOSPITAL,390290,113857,10397
HOSPITAL OF UNIV OF PENNSYLVANIA,390111,58853,9994
JEANES HOSPITAL,390080,56553,6221
NAZARETH HOSPITAL,390204,41592,6397
PENN PRESBYTERIAN MEDICAL CENTER,390223,36560,8130
PENNSYLVANIA HOSP OF THE UNIV OF PA HEALTH SYS,390226,49746,8167
TEMPLE UNIVERSITY HOSPITAL,390027,77094,12289
THOMAS JEFFERSON UNIVERSITY HOSPITAL,390174,49626,10028
