providerName,providerNationalID,avgCoveredCharges,averagePayments
ALBERT EINSTEIN MEDICAL CENTER,390142,41694,19639
ARIA HEALTH,390115,56467,14324
CHESTNUT HILL HOSPITAL,390026,93813,12543
HAHNEMANN UNIVERSITY HOSPITAL,390290,201452,19338
HOSPITAL OF UNIV OF PENNSYLVANIA,390111,114473,20213
JEANES HOSPITAL,390080,81656,12781
NAZARETH HOSPITAL,390204,65652,12956
PENN PRESBYTERIAN MEDICAL CENTER,390223,47235,16485
ST JOSEPH'S HOSPITAL,390132,77488,19984
TEMPLE UNIVERSITY HOSPITAL,390027,144647,22822
THOMAS JEFFERSON UNIVERSITY HOSPITAL,390174,100917,19284
