providerName,providerNationalID,avgCoveredCharges,averagePayments
ALBERT EINSTEIN MEDICAL CENTER,390142,53388,12835
ARIA HEALTH,390115,33560,6427
CHESTNUT HILL HOSPITAL,390026,35448,5902
HAHNEMANN UNIVERSITY HOSPITAL,390290,101689,9849
HOSPITAL OF UNIV OF PENNSYLVANIA,390111,62964,9922
JEANES HOSPITAL,390080,42115,6015
NAZARETH HOSPITAL,390204,33099,5587
PENN PRESBYTERIAN MEDICAL CENTER,390223,24426,7181
PENNSYLVANIA HOSP OF THE UNIV OF PA HEALTH SYS,390226,32777,7397
TEMPLE UNIVERSITY HOSPITAL,390027,72530,11261
THOMAS JEFFERSON UNIVERSITY HOSPITAL,390174,47967,9725
