providerName,providerNationalID,avgCoveredCharges,averagePayments
ALBERT EINSTEIN MEDICAL CENTER,390142,27669,8709
ARIA HEALTH,390115,27994,5318
CHESTNUT HILL HOSPITAL,390026,39833,4708
HAHNEMANN UNIVERSITY HOSPITAL,390290,70639,7463
HOSPITAL OF UNIV OF PENNSYLVANIA,390111,33547,7372
JEANES HOSPITAL,390080,45486,4509
NAZARETH HOSPITAL,390204,35502,4482
PENN PRESBYTERIAN MEDICAL CENTER,390223,26195,5755
PENNSYLVANIA HOSP OF THE UNIV OF PA HEALTH SYS,390226,32850,5739
ST JOSEPH'S HOSPITAL,390132,20009,6632
TEMPLE UNIVERSITY HOSPITAL,390027,58384,8511
THOMAS JEFFERSON UNIVERSITY HOSPITAL,390174,30976,6568
