providerName,providerNationalID,avgCoveredCharges,averagePayments
ALBERT EINSTEIN MEDICAL CENTER,390142,32869,10206
ARIA HEALTH,390115,32834,6106
CHESTNUT HILL HOSPITAL,390026,44331,5360
HAHNEMANN UNIVERSITY HOSPITAL,390290,96772,8406
HOSPITAL OF UNIV OF PENNSYLVANIA,390111,35151,7510
NAZARETH HOSPITAL,390204,39316,5098
PENN PRESBYTERIAN MEDICAL CENTER,390223,31921,6789
PENNSYLVANIA HOSP OF THE UNIV OF PA HEALTH SYS,390226,42890,7552
ST JOSEPH'S HOSPITAL,390132,22682,7742
TEMPLE UNIVERSITY HOSPITAL,390027,84933,11078
THOMAS JEFFERSON UNIVERSITY HOSPITAL,390174,33509,7807
