providerName,providerNationalID,avgCoveredCharges,averagePayments
FRANKLIN SQUARE HOSPITAL CENTER,210015,15786,14690
GOOD SAMARITAN HOSPITAL,210056,12430,11684
GREATER BALTIMORE MEDICAL CENTER,210044,11506,10857
HARBOR HOSPITAL,210034,13216,12505
JOHNS HOPKINS BAYVIEW MEDICAL CENTER,210029,14510,13647
JOHNS HOPKINS HOSPITAL THE,210009,19598,18593
MARYLAND GENERAL  HOSPITAL,210038,15472,14544
SAINT AGNES HOSPITAL,210011,13031,12249
SINAI HOSPITAL OF BALTIMORE,210012,14293,13435
UNION MEMORIAL HOSPITAL,210024,14559,13686
UNIVERSITY OF MARYLAND MEDICAL CENTER,210002,20958,19789
