providerName,providerNationalID,avgCoveredCharges,averagePayments
BON SECOURS HOSPITAL,210013,15692,14750
FRANKLIN SQUARE HOSPITAL CENTER,210015,10221,9607
GOOD SAMARITAN HOSPITAL,210056,8023,7611
GREATER BALTIMORE MEDICAL CENTER,210044,7419,6974
HARBOR HOSPITAL,210034,7689,7228
JOHNS HOPKINS BAYVIEW MEDICAL CENTER,210029,10152,9589
JOHNS HOPKINS HOSPITAL THE,210009,16186,15261
MARYLAND GENERAL  HOSPITAL,210038,10446,9819
MERCY MEDICAL CENTER INC,210008,10693,10051
SAINT AGNES HOSPITAL,210011,9890,9296
SINAI HOSPITAL OF BALTIMORE,210012,10449,9822
UNION MEMORIAL HOSPITAL,210024,8744,8303
UNIVERSITY OF MARYLAND MEDICAL CENTER,210002,13240,12473
