providerName,providerNationalID,avgCoveredCharges,averagePayments
FRANKLIN SQUARE HOSPITAL CENTER,210015,10797,10266
GOOD SAMARITAN HOSPITAL,210056,9438,8872
GREATER BALTIMORE MEDICAL CENTER,210044,10376,9830
HARBOR HOSPITAL,210034,9672,9092
JOHNS HOPKINS BAYVIEW MEDICAL CENTER,210029,9653,9121
JOHNS HOPKINS HOSPITAL THE,210009,13803,13001
MERCY MEDICAL CENTER INC,210008,12354,11612
SAINT AGNES HOSPITAL,210011,10392,9768
SINAI HOSPITAL OF BALTIMORE,210012,10603,9998
UNION MEMORIAL HOSPITAL,210024,11139,10493
UNIVERSITY OF MARYLAND MEDICAL CENTER,210002,11620,10923
