providerName,providerNationalID,avgCoveredCharges,averagePayments
BON SECOURS HOSPITAL,210013,12595,11839
FRANKLIN SQUARE HOSPITAL CENTER,210015,12712,11972
GOOD SAMARITAN HOSPITAL,210056,9170,8620
GREATER BALTIMORE MEDICAL CENTER,210044,12092,11407
HARBOR HOSPITAL,210034,10962,10304
JOHNS HOPKINS BAYVIEW MEDICAL CENTER,210029,11233,10559
JOHNS HOPKINS HOSPITAL THE,210009,17583,16729
MARYLAND GENERAL  HOSPITAL,210038,11183,10512
MERCY MEDICAL CENTER INC,210008,12570,11816
SAINT AGNES HOSPITAL,210011,11519,10828
SINAI HOSPITAL OF BALTIMORE,210012,11327,10687
UNION MEMORIAL HOSPITAL,210024,9830,9240
UNIVERSITY OF MARYLAND MEDICAL CENTER,210002,14359,13498
