providerName,providerNationalID,avgCoveredCharges,averagePayments
FRANKLIN SQUARE HOSPITAL CENTER,210015,20762,19590
GOOD SAMARITAN HOSPITAL,210056,19078,17933
GREATER BALTIMORE MEDICAL CENTER,210044,16922,15907
HARBOR HOSPITAL,210034,28217,26524
JOHNS HOPKINS BAYVIEW MEDICAL CENTER,210029,19760,18575
JOHNS HOPKINS HOSPITAL THE,210009,40540,38191
MERCY MEDICAL CENTER INC,210008,26114,24601
SAINT AGNES HOSPITAL,210011,23339,22012
SINAI HOSPITAL OF BALTIMORE,210012,20011,18810
UNION MEMORIAL HOSPITAL,210024,23787,22360
UNIVERSITY OF MARYLAND MEDICAL CENTER,210002,39719,37445
