providerName,providerNationalID,avgCoveredCharges,averagePayments
FRANKLIN SQUARE HOSPITAL CENTER,210015,8640,8122
GOOD SAMARITAN HOSPITAL,210056,8184,7735
GREATER BALTIMORE MEDICAL CENTER,210044,8674,8176
HARBOR HOSPITAL,210034,9540,9090
JOHNS HOPKINS BAYVIEW MEDICAL CENTER,210029,20943,19701
JOHNS HOPKINS HOSPITAL THE,210009,26403,24866
MARYLAND GENERAL  HOSPITAL,210038,9748,9163
MERCY MEDICAL CENTER INC,210008,8467,7959
SAINT AGNES HOSPITAL,210011,8090,7605
SINAI HOSPITAL OF BALTIMORE,210012,8232,7763
UNION MEMORIAL HOSPITAL,210024,10585,9950
UNIVERSITY OF MARYLAND MEDICAL CENTER,210002,18304,17211
