providerName,providerNationalID,avgCoveredCharges,averagePayments
BON SECOURS HOSPITAL,210013,18646,17592
FRANKLIN SQUARE HOSPITAL CENTER,210015,23964,22526
GOOD SAMARITAN HOSPITAL,210056,16481,15523
GREATER BALTIMORE MEDICAL CENTER,210044,14698,14606
JOHNS HOPKINS BAYVIEW MEDICAL CENTER,210029,21451,20237
JOHNS HOPKINS HOSPITAL THE,210009,38564,36250
MARYLAND GENERAL  HOSPITAL,210038,20255,19040
MERCY MEDICAL CENTER INC,210008,11863,11152
SAINT AGNES HOSPITAL,210011,16476,15512
SINAI HOSPITAL OF BALTIMORE,210012,17659,16744
UNION MEMORIAL HOSPITAL,210024,19392,18228
UNIVERSITY OF MARYLAND MEDICAL CENTER,210002,19610,18668
