providerName,providerNationalID,avgCoveredCharges,averagePayments
BON SECOURS HOSPITAL,210013,12220,11487
FRANKLIN SQUARE HOSPITAL CENTER,210015,11485,10808
GOOD SAMARITAN HOSPITAL,210056,8649,8136
GREATER BALTIMORE MEDICAL CENTER,210044,15376,14454
HARBOR HOSPITAL,210034,17398,16355
JOHNS HOPKINS BAYVIEW MEDICAL CENTER,210029,14945,14100
JOHNS HOPKINS HOSPITAL THE,210009,20068,18894
MARYLAND GENERAL  HOSPITAL,210038,10968,10310
MERCY MEDICAL CENTER INC,210008,8871,8339
SAINT AGNES HOSPITAL,210011,12070,11291
SINAI HOSPITAL OF BALTIMORE,210012,12225,11556
UNION MEMORIAL HOSPITAL,210024,13726,12996
UNIVERSITY OF MARYLAND MEDICAL CENTER,210002,13648,12902
