providerName,providerNationalID,avgCoveredCharges,averagePayments
FRANKLIN SQUARE HOSPITAL CENTER,210015,8648,8153
GOOD SAMARITAN HOSPITAL,210056,7382,7001
GREATER BALTIMORE MEDICAL CENTER,210044,10147,9575
HARBOR HOSPITAL,210034,7025,6604
JOHNS HOPKINS BAYVIEW MEDICAL CENTER,210029,8485,8016
JOHNS HOPKINS HOSPITAL THE,210009,11717,11091
MARYLAND GENERAL  HOSPITAL,210038,11355,10674
MERCY MEDICAL CENTER INC,210008,6295,5918
SAINT AGNES HOSPITAL,210011,6699,6318
SINAI HOSPITAL OF BALTIMORE,210012,9215,8622
UNION MEMORIAL HOSPITAL,210024,7607,7151
UNIVERSITY OF MARYLAND MEDICAL CENTER,210002,8631,8246
