providerName,providerNationalID,avgCoveredCharges,averagePayments
FRANKLIN SQUARE HOSPITAL CENTER,210015,25255,23794
GOOD SAMARITAN HOSPITAL,210056,27996,26609
GREATER BALTIMORE MEDICAL CENTER,210044,19552,18420
HARBOR HOSPITAL,210034,23490,22202
JAMES LAWRENCE KERNAN HOSPITAL INC,210058,23778,22416
JOHNS HOPKINS BAYVIEW MEDICAL CENTER,210029,22515,21291
JOHNS HOPKINS HOSPITAL THE,210009,36058,34174
MARYLAND GENERAL  HOSPITAL,210038,30187,28447
MERCY MEDICAL CENTER INC,210008,24837,23450
SAINT AGNES HOSPITAL,210011,21129,19894
SINAI HOSPITAL OF BALTIMORE,210012,24118,22792
UNION MEMORIAL HOSPITAL,210024,21086,20064
UNIVERSITY OF MARYLAND MEDICAL CENTER,210002,36059,33920
