providerName,providerNationalID,avgCoveredCharges,averagePayments
BON SECOURS HOSPITAL,210013,13476,12667
FRANKLIN SQUARE HOSPITAL CENTER,210015,10378,9783
GOOD SAMARITAN HOSPITAL,210056,8609,8122
GREATER BALTIMORE MEDICAL CENTER,210044,9542,8991
HARBOR HOSPITAL,210034,11541,10868
JOHNS HOPKINS BAYVIEW MEDICAL CENTER,210029,15769,14840
JOHNS HOPKINS HOSPITAL THE,210009,23182,21886
MARYLAND GENERAL  HOSPITAL,210038,14572,13698
MERCY MEDICAL CENTER INC,210008,17690,16628
SAINT AGNES HOSPITAL,210011,10519,9892
SINAI HOSPITAL OF BALTIMORE,210012,11464,10796
UNION MEMORIAL HOSPITAL,210024,11004,10424
UNIVERSITY OF MARYLAND MEDICAL CENTER,210002,16653,15664
