providerName,providerNationalID,avgCoveredCharges,averagePayments
BON SECOURS HOSPITAL,210013,10732,10088
FRANKLIN SQUARE HOSPITAL CENTER,210015,8953,8434
GOOD SAMARITAN HOSPITAL,210056,9744,9184
GREATER BALTIMORE MEDICAL CENTER,210044,10367,9754
HARBOR HOSPITAL,210034,8485,8039
JOHNS HOPKINS BAYVIEW MEDICAL CENTER,210029,11810,11114
JOHNS HOPKINS HOSPITAL THE,210009,17050,16034
MARYLAND GENERAL  HOSPITAL,210038,11196,10524
MERCY MEDICAL CENTER INC,210008,9625,9047
SAINT AGNES HOSPITAL,210011,9400,8853
SINAI HOSPITAL OF BALTIMORE,210012,10139,9573
UNION MEMORIAL HOSPITAL,210024,10347,9734
UNIVERSITY OF MARYLAND MEDICAL CENTER,210002,15593,14694
