providerName,providerNationalID,avgCoveredCharges,averagePayments
BON SECOURS HOSPITAL,210013,8773,8266
FRANKLIN SQUARE HOSPITAL CENTER,210015,5140,4935
GOOD SAMARITAN HOSPITAL,210056,5671,5432
GREATER BALTIMORE MEDICAL CENTER,210044,6221,5898
HARBOR HOSPITAL,210034,5947,5688
JAMES LAWRENCE KERNAN HOSPITAL INC,210058,5041,4751
JOHNS HOPKINS BAYVIEW MEDICAL CENTER,210029,7283,6947
JOHNS HOPKINS HOSPITAL THE,210009,8162,7707
MARYLAND GENERAL  HOSPITAL,210038,7918,7443
MERCY MEDICAL CENTER INC,210008,5380,5236
SAINT AGNES HOSPITAL,210011,5813,5495
SINAI HOSPITAL OF BALTIMORE,210012,5997,5742
UNION MEMORIAL HOSPITAL,210024,7091,6727
UNIVERSITY OF MARYLAND MEDICAL CENTER,210002,6858,6446
