providerName,providerNationalID,avgCoveredCharges,averagePayments
FRANKLIN SQUARE HOSPITAL CENTER,210015,9258,8764
GOOD SAMARITAN HOSPITAL,210056,12640,11882
GREATER BALTIMORE MEDICAL CENTER,210044,9571,8997
HARBOR HOSPITAL,210034,7408,7025
JOHNS HOPKINS BAYVIEW MEDICAL CENTER,210029,13376,12574
JOHNS HOPKINS HOSPITAL THE,210009,20653,19449
SAINT AGNES HOSPITAL,210011,12731,11857
SINAI HOSPITAL OF BALTIMORE,210012,11922,11207
UNION MEMORIAL HOSPITAL,210024,11312,10674
UNIVERSITY OF MARYLAND MEDICAL CENTER,210002,12531,11942
