providerName,providerNationalID,avgCoveredCharges,averagePayments
COMMUNITY HOSPITAL EAST,150074,28386,9683
COMMUNITY HOSPITAL NORTH,150169,28319,9309
COMMUNITY HOSPITAL SOUTH,150128,29840,8731
FRANCISCAN ST FRANCIS HEALTH - INDIANAPOLIS,150162,30676,8894
INDIANA HEART HOSPITAL THE,150154,36507,9195
INDIANA ORTHOPAEDIC HOSPITAL LLC,150160,35365,12734
INDIANA UNIVERSITY HEALTH,150056,44256,14557
ST VINCENT HEART CENTER OF INDIANA LLC,150153,34120,8255
ST VINCENT HOSPITAL & HEALTH SERVICES,150084,38540,10796
WESTVIEW HOSPITAL,150129,27714,7112
WILLIAM N WISHARD MEMORIAL HOSPITAL,150024,21466,12557
