providerName,providerNationalID,avgCoveredCharges,averagePayments
COMMUNITY HOSPITAL EAST,150074,18085,6886
COMMUNITY HOSPITAL NORTH,150169,18929,6318
COMMUNITY HOSPITAL SOUTH,150128,16804,5562
FRANCISCAN ST FRANCIS HEALTH - INDIANAPOLIS,150162,18560,6254
INDIANA HEART HOSPITAL THE,150154,18117,5493
INDIANA UNIVERSITY HEALTH,150056,24869,8963
ST VINCENT HEART CENTER OF INDIANA LLC,150153,23599,5575
ST VINCENT HOSPITAL & HEALTH SERVICES,150084,25190,6970
WESTVIEW HOSPITAL,150129,26984,6613
WILLIAM N WISHARD MEMORIAL HOSPITAL,150024,11684,9265
