providerName,providerNationalID,avgCoveredCharges,averagePayments
COMMUNITY HOSPITAL EAST,150074,24211,9753
COMMUNITY HOSPITAL NORTH,150169,25976,8883
COMMUNITY HOSPITAL SOUTH,150128,25089,7849
FRANCISCAN ST FRANCIS HEALTH - INDIANAPOLIS,150162,30252,9482
INDIANA HEART HOSPITAL THE,150154,24509,7916
INDIANA UNIVERSITY HEALTH,150056,37918,13607
ST VINCENT HEART CENTER OF INDIANA LLC,150153,32796,7879
ST VINCENT HOSPITAL & HEALTH SERVICES,150084,36691,10656
WESTVIEW HOSPITAL,150129,24686,8304
WILLIAM N WISHARD MEMORIAL HOSPITAL,150024,26011,14020
