providerName,providerNationalID,avgCoveredCharges,averagePayments
COMMUNITY HOSPITAL EAST,150074,16850,4766
COMMUNITY HOSPITAL NORTH,150169,17078,4200
COMMUNITY HOSPITAL SOUTH,150128,13662,3889
FRANCISCAN ST FRANCIS HEALTH - INDIANAPOLIS,150162,14744,4403
INDIANA HEART HOSPITAL THE,150154,14624,3882
INDIANA UNIVERSITY HEALTH,150056,20541,7112
ST VINCENT HEART CENTER OF INDIANA LLC,150153,14409,3885
ST VINCENT HOSPITAL & HEALTH SERVICES,150084,20395,4936
WESTVIEW HOSPITAL,150129,17888,4189
WILLIAM N WISHARD MEMORIAL HOSPITAL,150024,9538,6629
