providerName,providerNationalID,avgCoveredCharges,averagePayments
BELLEVUE HOSPITAL CENTER,330204,13938,10633
BETH ISRAEL MEDICAL CENTER,330169,24944,8660
HARLEM HOSPITAL CENTER,330240,11526,10240
LENOX HILL HOSPITAL,330119,38673,7683
METROPOLITAN HOSPITAL CENTER,330199,7218,9271
MOUNT SINAI HOSPITAL,330024,17702,9253
NEW YORK DOWNTOWN HOSPITAL,330064,13363,9484
NEW YORK-PRESBYTERIAN HOSPITAL,330101,32055,9232
NYU HOSPITALS CENTER,330214,109140,15088
ST LUKE'S ROOSEVELT HOSPITAL,330046,31223,8910
