providerName,providerNationalID,avgCoveredCharges,averagePayments
BELLEVUE HOSPITAL CENTER,330204,15572,10922
BETH ISRAEL MEDICAL CENTER,330169,34663,9415
HARLEM HOSPITAL CENTER,330240,14078,11358
LENOX HILL HOSPITAL,330119,43291,7505
METROPOLITAN HOSPITAL CENTER,330199,10702,10585
MOUNT SINAI HOSPITAL,330024,20831,9672
NEW YORK DOWNTOWN HOSPITAL,330064,18836,9836
NEW YORK-PRESBYTERIAN HOSPITAL,330101,31583,9460
NYU HOSPITALS CENTER,330214,28760,7858
ST LUKE'S ROOSEVELT HOSPITAL,330046,30681,9157
