providerName,providerNationalID,avgCoveredCharges,averagePayments
BELLEVUE HOSPITAL CENTER,330204,18436,11764
BETH ISRAEL MEDICAL CENTER,330169,36797,10091
HARLEM HOSPITAL CENTER,330240,16022,11989
LENOX HILL HOSPITAL,330119,42837,7909
METROPOLITAN HOSPITAL CENTER,330199,9005,11202
MOUNT SINAI HOSPITAL,330024,25378,10506
NEW YORK DOWNTOWN HOSPITAL,330064,15380,9906
NEW YORK-PRESBYTERIAN HOSPITAL,330101,29633,9627
NYU HOSPITALS CENTER,330214,52078,9539
ST LUKE'S ROOSEVELT HOSPITAL,330046,29673,9600
