providerName,providerNationalID,avgCoveredCharges,averagePayments
BELLEVUE HOSPITAL CENTER,330204,40824,26796
BETH ISRAEL MEDICAL CENTER,330169,74949,23362
HARLEM HOSPITAL CENTER,330240,25933,26823
LENOX HILL HOSPITAL,330119,119899,20159
METROPOLITAN HOSPITAL CENTER,330199,21446,26474
MOUNT SINAI HOSPITAL,330024,42961,23395
NEW YORK DOWNTOWN HOSPITAL,330064,44004,23857
NEW YORK-PRESBYTERIAN HOSPITAL,330101,76984,25162
NYU HOSPITALS CENTER,330214,91777,21980
ST LUKE'S ROOSEVELT HOSPITAL,330046,60445,22331
