providerName,providerNationalID,avgCoveredCharges,averagePayments
BELLEVUE HOSPITAL CENTER,330204,38514,25978
BETH ISRAEL MEDICAL CENTER,330169,64827,21052
HARLEM HOSPITAL CENTER,330240,32832,22666
LENOX HILL HOSPITAL,330119,101210,17306
METROPOLITAN HOSPITAL CENTER,330199,22076,24761
MOUNT SINAI HOSPITAL,330024,49429,21161
NEW YORK DOWNTOWN HOSPITAL,330064,34967,18876
NEW YORK-PRESBYTERIAN HOSPITAL,330101,76628,23908
NYU HOSPITALS CENTER,330214,51699,16910
ST LUKE'S ROOSEVELT HOSPITAL,330046,82698,24629
