providerName,providerNationalID,avgCoveredCharges,averagePayments
BELLEVUE HOSPITAL CENTER,330204,13502,11560
BETH ISRAEL MEDICAL CENTER,330169,31359,9708
HARLEM HOSPITAL CENTER,330240,10264,10241
LENOX HILL HOSPITAL,330119,38975,7868
METROPOLITAN HOSPITAL CENTER,330199,10502,11816
MOUNT SINAI HOSPITAL,330024,23621,10174
NEW YORK DOWNTOWN HOSPITAL,330064,15033,10144
NEW YORK-PRESBYTERIAN HOSPITAL,330101,32055,10126
NYU HOSPITALS CENTER,330214,29471,8594
ST LUKE'S ROOSEVELT HOSPITAL,330046,28789,9948
