providerName,providerNationalID,avgCoveredCharges,averagePayments
BELLEVUE HOSPITAL CENTER,330204,24634,14569
BETH ISRAEL MEDICAL CENTER,330169,39473,11872
HARLEM HOSPITAL CENTER,330240,18686,14758
LENOX HILL HOSPITAL,330119,51901,9643
METROPOLITAN HOSPITAL CENTER,330199,20086,14838
MOUNT SINAI HOSPITAL,330024,31913,13029
NEW YORK DOWNTOWN HOSPITAL,330064,20778,12182
NEW YORK-PRESBYTERIAN HOSPITAL,330101,38970,12437
NYU HOSPITALS CENTER,330214,39258,10581
ST LUKE'S ROOSEVELT HOSPITAL,330046,35882,11924
