providerName,providerNationalID,avgCoveredCharges,averagePayments
BELLEVUE HOSPITAL CENTER,330204,21709,15475
BETH ISRAEL MEDICAL CENTER,330169,48561,16907
HARLEM HOSPITAL CENTER,330240,15980,14050
HOSPITAL FOR SPECIAL SURGERY,330270,57048,18027
LENOX HILL HOSPITAL,330119,70268,14552
METROPOLITAN HOSPITAL CENTER,330199,11150,11969
MOUNT SINAI HOSPITAL,330024,36433,17736
NEW YORK DOWNTOWN HOSPITAL,330064,26186,16594
NEW YORK-PRESBYTERIAN HOSPITAL,330101,50676,18171
NYU HOSPITALS CENTER,330214,59738,15891
ST LUKE'S ROOSEVELT HOSPITAL,330046,46479,17060
