providerName,providerNationalID,avgCoveredCharges,averagePayments
BELLEVUE HOSPITAL CENTER,330204,15128,13411
BETH ISRAEL MEDICAL CENTER,330169,32935,10864
HARLEM HOSPITAL CENTER,330240,12958,13522
LENOX HILL HOSPITAL,330119,40536,8974
METROPOLITAN HOSPITAL CENTER,330199,11569,12549
MOUNT SINAI HOSPITAL,330024,23887,11620
NEW YORK DOWNTOWN HOSPITAL,330064,15336,11889
NEW YORK-PRESBYTERIAN HOSPITAL,330101,32819,11169
NYU HOSPITALS CENTER,330214,30919,9590
ST LUKE'S ROOSEVELT HOSPITAL,330046,28874,11082
