city,avgCoveredCharges,averagePayments
ATLANTIC CITY,162360,20691
BAYONNE,231740,16168
BELLEVILLE,98740,18258
BERLIN,116661,17323
BRICK,108495,16016
CAMDEN,141801,21705
CAPE MAY COURT,49464,15213
DENVILLE,96558,16455
EDISON,75953,18758
ELIZABETH,90214,20702
ENGLEWOOD,108164,19306
FLEMINGTON,58625,18482
FREEHOLD,76153,15861
HACKENSACK,126677,19739
HAMILTON,123826,15147
JERSEY CITY,150925,21668
LIVINGSTON,81793,20011
LONG BRANCH,102532,20297
MANAHAWKIN,92866,16039
MONTCLAIR,56357,18840
MORRISTOWN,75594,20492
MOUNT HOLLY,139383,18697
NEPTUNE,137471,19810
NEW BRUNSWICK,138251,22291
NEWARK,117486,25732
NEWTON,108447,16348
NORTH BERGEN,120765,21983
PASSAIC,73294,19777
PATERSON,110713,23672
PENNINGTON,172287,18923
PHILLIPSBURG,116709,18268
POMPTON PLAINS,80459,18559
PRINCETON,70128,16263
RAHWAY,145134,15193
RED BANK,95514,15900
RIDGEWOOD,64834,17415
SOMERS POINT,113433,17053
SOMERVILLE,159190,20654
STRATFORD,118131,19784
SUMMIT,60319,19056
TEANECK,68250,18661
TOMS RIVER,87411,15000
VINELAND,103582,17851
WILLINGBORO,147675,16663
WOODBURY,84341,15530
