city,avgCoveredCharges,averagePayments
APPLETON,16490,8819
BARABOO,20002,6993
BEAVER DAM,27795,8415
BELOIT,33403,8070
BROOKFIELD,23232,7477
BURLINGTON,26907,8107
CHIPPEWA FALLS,18678,7756
EAU CLAIRE,29161,9792
ELKHORN,24704,7794
FOND DU LAC,23061,7065
FORT ATKINSON,17680,6672
FRANKLIN,22797,6688
GLENDALE,45235,17555
GRAFTON,21653,5879
GREEN BAY,25286,9110
HARTFORD,21509,6466
JANESVILLE,28178,8632
KENOSHA,25994,7822
LA CROSSE,24535,9584
MADISON,34262,12506
MANITOWOC,19851,6934
MARINETTE,19928,6856
MARSHFIELD,28786,11753
MAUSTON,15975,5792
MENOMONEE FALLS,21457,7403
MEQUON,26495,7528
MILWAUKEE,33445,11627
MONROE,20058,6682
NEENAH,15065,7993
OCONOMOWOC,22829,7675
OSHKOSH,17950,7352
PORTAGE,18525,7329
PRAIRIE DU SAC,14251,6990
RACINE,23467,10164
RHINELANDER,24388,9132
RICE LAKE,12324,6575
SHEBOYGAN,20561,7826
STEVENS POINT,14198,6796
SUMMIT,18784,6680
TWO RIVERS,17308,8050
WATERTOWN,17008,7518
WAUKESHA,30429,9791
WAUSAU,26379,9426
WEST ALLIS,29855,8185
WEST BEND,19127,6535
WESTON,18126,8139
WISCONSIN RAPID,14897,7892
WOODRUFF,20441,9077
