city,avgCoveredCharges,averagePayments
APPLETON,13943,8088
BELOIT,25741,9497
BROOKFIELD,20795,7974
EAU CLAIRE,22870,8937
FOND DU LAC,20806,8596
FORT ATKINSON,13688,8299
GREEN BAY,19217,9179
JANESVILLE,27743,9009
KENOSHA,29790,9137
LA CROSSE,22504,9388
MADISON,26725,12161
MARINETTE,25883,8988
MARSHFIELD,27537,12266
MENOMONEE FALLS,20763,8097
MEQUON,24971,8282
MILWAUKEE,27418,11283
MONROE,23366,8691
PORTAGE,21847,9263
RACINE,16720,9429
RHINELANDER,22264,9222
STEVENS POINT,17026,8380
WATERTOWN,20155,9580
WAUKESHA,27787,8038
WEST ALLIS,28931,10457
WEST BEND,23460,8540
WOODRUFF,24070,10115
