providerName,providerNationalID,avgCoveredCharges,averagePayments
BAPTIST MEDICAL CENTER,450058,75758,15581
CHRISTUS SANTA ROSA HOSPITAL,450237,57878,16976
FOUNDATION SURGICAL HOSPITAL OF SAN ANTONIO,670054,55260,11578
METHODIST AMBULATORY SURGERY HOSPITAL NW,450780,48518,12309
METHODIST HOSPITAL,450388,65790,13686
METHODIST STONE OAK HOSPITAL,670055,66962,12849
NIX HEALTH CARE SYSTEM,450130,64917,16543
SOUTH TEXAS SPINE AND SURGICAL HOSPITAL,450856,61674,12176
SOUTHWEST GENERAL HOSPITAL,450697,73166,17260
UNIVERSITY HEALTH SYSTEM,450213,35660,19570
