state,avgCoveredCharges,averagePayments
AK,19253,7940
AL,17040,4493
AR,13623,4576
AZ,20857,5551
CA,36092,6728
CO,20158,5034
CT,17907,6303
DC,21712,6901
DE,13531,5972
FL,25550,4912
GA,16466,4870
HI,18385,7120
IA,13302,4858
ID,11932,4933
IL,19533,5411
IN,15131,4807
KS,16445,4727
KY,13466,4783
LA,16881,4786
MA,11735,5950
MD,7422,6986
ME,11986,5264
MI,12900,5490
MN,14428,5431
MO,16038,4806
MS,16244,4671
MT,10790,4963
NC,14052,5326
ND,9244,5144
NE,16292,5051
NH,14475,5062
NJ,40335,5798
NM,16098,5731
NV,30324,5490
NY,21451,7039
OH,14573,4878
OK,15496,4767
OR,13356,5471
PA,23346,5274
RI,17854,5911
SC,19506,5031
SD,15560,5388
TN,15485,4583
TX,22538,5084
UT,12921,4914
VA,15209,4914
VT,10329,6455
WA,17974,5488
WI,14138,5212
WV,10257,4701
WY,15499,6977
