state,avgCoveredCharges,averagePayments
AL,26544,5604
AR,16498,5398
AZ,25251,5939
CA,42162,7743
CO,23494,6192
CT,22542,7834
DC,24898,8622
DE,17241,6924
FL,29396,5540
GA,20526,5772
IA,17919,6159
ID,14599,5415
IL,24200,6685
IN,20301,5790
KS,23604,5435
KY,18518,5528
LA,22588,5876
MA,15171,7206
MD,8360,7881
ME,14192,5640
MI,16213,6408
MN,21404,6611
MO,21314,5847
MS,25879,5718
MT,10018,5497
NC,18343,6343
ND,12602,7059
NE,26232,6055
NH,14763,5661
NJ,42421,6579
NM,19453,5565
NV,44286,5985
NY,26465,8210
OH,18917,5791
OK,27196,5853
OR,20714,5967
PA,39486,6703
RI,20271,7514
SC,26048,6134
SD,21861,6862
TN,25831,5849
TX,29822,6498
UT,32920,9395
VA,19317,5894
VT,20525,8489
WA,24131,6372
WI,18946,6630
WV,13126,5342
