state,avgCoveredCharges,averagePayments
AL,60977,17187
AR,50077,17334
AZ,79867,20813
CA,139101,25918
CO,88709,19875
CT,69630,25496
DC,71098,23816
DE,59548,24721
FL,95253,19098
GA,68459,19424
HI,67567,27744
IA,54187,18464
ID,45495,18344
IL,75439,19684
IN,60121,18768
KS,74414,18541
KY,49597,18433
LA,66984,18772
MA,48942,24580
MD,25590,24089
ME,47724,20735
MI,53729,21427
MN,56247,20367
MO,63595,18951
MS,61660,19233
MT,45436,18809
NC,51964,20393
ND,42730,18701
NE,52785,18982
NH,50564,20951
NJ,114165,22918
NM,65631,22561
NV,98032,21717
NY,80390,27239
OH,71144,20057
OK,70086,18961
OR,52782,21109
PA,94363,21768
RI,78582,25433
SC,83345,20070
SD,65118,22196
TN,58433,17667
TX,84559,19805
UT,41965,17683
VA,63084,18968
VT,48153,28728
WA,65675,21408
WI,56260,20182
WV,55097,20155
WY,57556,20336
