state,avgCoveredCharges,averagePayments
AK,18174,6770
AL,12959,3354
AR,9784,3320
AZ,16521,3832
CA,28713,4819
CO,15912,3767
CT,13908,4693
DC,15037,4835
DE,11054,4224
FL,17832,3540
GA,12553,3631
HI,14674,5368
IA,10063,3469
ID,9009,3825
IL,15251,4043
IN,11376,3551
KS,13239,3508
KY,10390,3523
LA,11957,3525
MA,9061,4421
MD,5458,5157
ME,9756,3940
MI,10848,4054
MN,11692,4101
MO,12487,3574
MS,12650,3452
MT,8673,3583
NC,10855,3934
ND,6927,3741
NE,12629,3825
NH,11879,3899
NJ,31596,4298
NM,13507,3929
NV,23687,4046
NY,15604,4970
OH,12756,3704
OK,11452,3510
OR,10702,4145
PA,17588,3835
RI,13569,4388
SC,14149,3700
SD,11097,3958
TN,12407,3513
TX,17909,3737
UT,9279,3819
VA,11985,3674
VT,8423,4823
WA,13725,4102
WI,11302,3866
WV,8528,3482
WY,12602,4942
