state,avgCoveredCharges,averagePayments
AK,48854,13087
AL,26286,6809
AR,22497,6883
AZ,30364,8016
CA,49218,10092
CO,31553,7929
CT,27258,9759
DC,33542,11497
DE,18743,8642
FL,32786,7205
GA,22776,7451
HI,28126,10487
IA,21581,7193
ID,18953,7406
IL,27848,8329
IN,22280,7582
KS,26289,7050
KY,20360,7408
LA,22710,7159
MA,17371,9228
MD,11250,10597
ME,19588,8034
MI,19497,8609
MN,22430,8761
MO,24577,7378
MS,24230,7140
MT,19816,7153
NC,19995,8055
ND,14498,7335
NE,26683,8266
NH,21555,7851
NJ,57544,9024
NM,23060,8383
NV,43255,8171
NY,31477,11182
OH,22848,7505
OK,25050,7299
OR,18636,8107
PA,37349,8157
RI,35293,11564
SC,29017,7652
SD,29126,8089
TN,24119,7153
TX,32026,7792
UT,17846,7760
VA,22123,7532
VT,16913,10191
WA,23633,8548
WI,20729,8358
WV,19476,7750
WY,31383,10500
