state,avgCoveredCharges,averagePayments
AK,27805,6906
AL,25511,4746
AR,16271,4729
AZ,29612,5285
CA,40505,6444
CO,23660,5131
CT,20837,6485
DC,25146,6872
DE,19746,5656
FL,29308,5013
GA,20765,5039
HI,19076,8169
IA,17798,4742
ID,17417,5018
IL,22542,5541
IN,21417,4899
KS,23861,5117
KY,17672,5204
LA,23751,5038
MA,13345,6153
MD,6984,6613
ME,13020,5531
MI,15656,5534
MN,16531,5317
MO,19409,5075
MS,22548,5042
MT,13830,5047
NC,18020,5409
ND,16007,4987
NE,25739,5686
NH,19318,5820
NJ,39371,5688
NM,23430,6760
NV,42468,5794
NY,19866,6537
OH,20698,5082
OK,22094,5019
OR,15776,5827
PA,24778,5248
RI,21662,6232
SC,25502,5127
SD,18385,5233
TN,20047,4912
TX,30388,5540
UT,19126,7362
VA,19748,5290
VT,11513,6917
WA,23498,5716
WI,20171,5772
WV,13287,4689
WY,27532,6775
