state,avgCoveredCharges,averagePayments
AK,58199,16418
AL,51215,12069
AR,32428,11614
AZ,57299,14290
CA,101885,17925
CO,56028,12961
CT,39858,16055
DC,54800,17122
DE,34014,14418
FL,64640,12633
GA,42932,12718
HI,42409,17035
IA,31794,11832
ID,30269,13219
IL,51004,13436
IN,37426,12353
KS,45641,12322
KY,35535,12449
LA,53780,12372
MA,26638,15116
MD,18144,17084
ME,32951,13636
MI,33415,14054
MN,40378,14697
MO,39631,11742
MS,45994,12320
MT,25491,12252
NC,30855,13291
ND,25937,12804
NE,43032,12982
NH,33384,13028
NJ,90014,14786
NM,39749,14788
NV,88107,14568
NY,51542,17543
OH,38412,12482
OK,49098,12613
OR,35048,15303
PA,54086,12976
RI,42870,16067
SC,52031,13931
SD,46126,14243
TN,40945,11818
TX,61030,13022
UT,34138,14447
VA,37946,12347
VT,29659,17366
WA,42369,14185
WI,35760,13569
WV,27963,12086
WY,43251,19807
